sentiment,comment
0,"今天心情非常不爽,这是几个意思啊,我是皮球还是盘菜啊,可以被随意安排。换就换吧,可换的是毕业不久从教二年的小姑娘,我自己锻炼都近八年了"
0,当你知道即将失去的时候才会珍惜！
1,#勿忘心安#大千世界，我们并不是缺少一个说话的朋友，而是渴望一个理解自己读懂自己的伙伴。晚安！
0,谁他妈说带墨镜会白一点??????@丨别跟爷说呵呵丨
0,最近也没暴饮暴食，可是一称体重沉了好几斤，偷偷涨上来的肉能不能麻烦你再偷偷的回去啊
1,约上三两好友谈生活，谈工作，外带个休息天，美美的睡上一觉！生活亦是如此
0,今天宿舍妹子被另外一个欺负了～年轻时的我最爱打抱不平了，敢不敢不这样了，再这样我就要对你有成见了，真是看不惯怎么就那么多人拿鸡毛当令箭呢
1,晨跑??结束，一种满血复活的感觉。
1,今晚下班最早一天已经到家了呵呵争分夺秒洗洗睡了
0,好便宜......黑五真是分分钟剁手的节奏?然而现在我并不需要表啊可是手却有点儿不听使唤
1,好久了我都没有解锁太多人生新成就，日子无聊到只看了一场观影人设非常有趣的电影以及唱了一场酣畅淋漓的五月天许嵩专场。下个月到时候就可以有人生新成就了，我会努力通关的放心我也不是那么差，我最近总是梦到你，也爱哭鼻子，但是绝对绝对不会放弃自己。
0,三四个快递没动静了妈的该不会丢件了吧不要啊！！！！！
1,今天被萌萌哒萌翻了心都融化了哦多茄
0,雨真大?把我穿的这双毛毛平底鞋全淋湿了
0,每天都窝在寝室，连我自己都开始觉得好像自己活得越来越失败了晚安alwaysprayforeverything
0,看到身边的人都越变越好而我却读个英语阅读的长难句都读不懂发现自己真是脑瘫了呢
0,好烦好烦好烦此时此刻我真的很想杀人谁有保存蔺靖《桎梏》文我在这里跪求了就是让我花钱买我都愿意我的凌李《绰约》没写完就算了可是我的蔺靖桎梏啊好烦躁！心情不好要睡不着了！
0,话说，盆友圈现在是一个打广告的好地方，虽然我自己也偶尔打个广告（尼玛那不是自愿的好吗）
0,随缘不是听天由命、而是用豁达的心态去面对生活，没人能够改变另一个人；但却能成为别人改变的一个原因，多遥远……多纠结；多想念！多无法描写……疼痛和疯癫，你都看不见；有时候分手不是不爱。而是太爱，放弃只因为爱的太深；爱太深才对自己没把握。要用放弃作赌注；输了，只因为对方不够爱你……
0,希望新买的狗粮能消泪痕，看着难受
0,我不想吃土求1000生活费就好了
1,等待时间，让这种距离慢慢变近，让自己慢慢沉淀，成为更好的自己。晚安
1,一些年之后，我要跟你去山下人迹稀少的小镇生活。清晨爬到高山巅顶，下山去集市买蔬菜水果。烹煮打扫。生儿育女。午后读一本书。晚上在杏花树下喝酒，聊天，直到月色和露水清凉。在梦中，行至岩凤尾蕨茂盛的空空山谷，鸟声清脆，树上种子崩裂……一起在树下疲累而眠。醒来时，我尚年少，你未老。
0,以后再也不想再那个破店买东西了，客服太多差差差一说我收到的东西有破损就不回话贱贱贱
0,#鹿晗#虽然舍不得但是我觉得鹿哥你还是好好当你的老板拍拍戏唱唱歌就好就好了
1,#满满都是我对你的爱#我想这样的爱情、亲情是最幸福的吧
1,#美言美文#征服畏惧建立自信的最快最确实的方法，就是去做你害怕的事，直到你获得成功的经验[拳头]
0,好吧，大中午的把两只可爱的鹦鹉放太阳下曝晒，这属于虐待动物吗？更糟糕的是，两个煤气罐也放那边晒，亲，里面还有液化气吗，你不怕它受热爆炸吗？？？（北区一堂，刚刚的照片，昨天就看到了）
0,晚饭时，突然被亲戚问起年龄多大了。我:24了。亲戚:也，都快30了。我。。。。。还早着呢，还有好几年。亲戚:没多少天了。然后我借着困，遁走。因为害怕接下来的话题，不想再交流。此刻想来，却有些恐慌了，年复一年，貌似一切都挺好，但无惊无喜也会觉得略显平淡，略有悲哀。|重庆·武隆...
0,去他妈的奖学金，什么嘴脸都露出来了，害我熬了夜又没吃饭就留下来，已经过了一个小时了关我毛线事，一群人张牙舞爪龇牙咧嘴的神烦，麻辣个鸡，神烦大学的那些破事
1,习惯了喝淡点の豆浆，今天喝了一下浓点的，感觉味道还不错～以前都是讨厌喝豆浆の。。。
1,年纪越大人变的越白了，真不是吹流哔的说这话好像容易挨打
1,这两天西安冷爆了就想窝在家里但是每天总有各种各样的事情需要出去最近在学做饭学会了几道刚开始刀工不行等多学几道上手了拍几张图片纪念下当然学会的第一道菜就是香菇炒青菜
1,许过的愿，何时才能结果呢？虽然一直在努力，可始终看不到希望，但还是要紧紧握住心中的信念，因为男人永远不能倒下！也许有一天苦尽了甘就来了
1,哈哈哈哈哈哈什么鬼看的出来用的美颜相机的什么妆容吗
1,He：十二天没看见你了，可安好？
1,失敗是成功的媽媽不會忘記自己的真正身分！老娘還是個Superman！???
0,真是醉了，你滴心眼可真多，当谁傻呢！
0,南宁的回南天一夜之间长了一大堆痘痘
0,我的胃又怎么了吃了什么又疼?
1,#私语杨洋#【吃货的心愿】你带着嘴/我带着一双花痴的眼睛/你带着GPS/我带着一双花痴的眼睛/你带着钱/我带着一双花痴的眼睛/你带着我/我带着一双花痴的眼睛/看着你吃遍天下美食/而我只想吃你【PS：真的太瘦了，多吃点】
0,当你知道有人伤害了你，但碍于情面相见时还必须客气的问好，可心里却奔过一万只草泥马吧。唉，多么痛的领悟成长就是这么残酷
0,真的真的好难受好难受明天要去医院检查一下了
1,今天已把此物收入旗下，可得保佑我运气棒棒哒
0,肚子都饿扁掉十一点饿到现在感觉好难过
1,路过农场货，太棒，全有机蔬果。真蜂蜜。切石榴的时候一看这个画面让我害怕，像杀什么东西一样......跟红酒一个颜色。自己下厨终于吃了点香辣鸡杂……
0,买的衣服可怎么穿啊土我算是白吃了
1,有些话就算解释了也会有人鸡蛋里挑骨头诋毁你你得明白大部分的人都见不得别人好落井下石的人永远在马上和你撇清关系的也不会少看戏的观众总是按时出现但是你永远要感谢给你逆境的众生不然怎么会成就日后无坚不摧的你
0,我只想问哪来的数据？今天朋友圈微博都传播这组数据，还贴上央视图，双11的货大部分不是在仓库就是在路上，怎么可能得这数据！
1,充电快，而且电池容量高！！可以玩很久！！！
1,我喝多还要去找喝多的你车上都是我爱听的歌哈哈哈我爱你刘沛霖
0,自己样样都好其他人就是傻，咩都衰，就你叻，真系好黑人憎再理你就是傻蛋，由你做一个自以为是的傻逼
1,一天里最幸福的事是窝在被窝里憨然入睡
0,vpn连不上看不到日常动态伤感。。
0,办公室里来了个新领导，从无烟办公室到云雾缭绕的熏死了，半小时至少3根了，你妹你妹你妹
1,蔡志忠经典一句话、人有目标：就是一定要去奔着它而去、不要去绕圈子；就像攀登喜马拉雅山的人；不认真走怎么能到达顶峰呢！
1,新的百元大钞，毛爷爷变漂亮了！秀一秀
1,这辈子一定要看的两场演唱会一个一定是我杰哥的演唱会那片星海向往已久?还有一个就是BigBang的BigBang的现场简直了气氛太好很难让人不爱?
0,真是一点权力也没有，今天老娘心情好有个客户来插队说着急办业务，我就欣然答应了，结果被主管呵斥
1,有些快乐真的只有自己懂有些笑点也只能戳戳自己！哈哈哈有种没事偷着乐的感觉
1,每一次都可以给我带来希望信心和能量
1,#午间正能量#生活是恼人的牢笼。一个有思想的人到成年时期，对生活有了成熟的感觉，他就不能不感到他关在一个无从脱逃的牢笼里面。——契诃夫
0,现在的孩子真苦逼，不认真学会被骂，认真学，进步了，分数不好依旧骂。老师都说不重名次，我呸，哪个家长看中的不是这个？人们都说孩子叛逆不好，就没想过为什么会叛逆吗，真是的
0,广州第三次入冬正式失败热死宝宝了
1,外面好冷，窝细菌室里画平板是件幸福的事虽然那些标本是。。。。但真的好暖和啊！――早安
1,刚刚碰到和一个小学生妹妹一起过马路，我刻意上前走到了她的右手边。不知道，她有没有心里不会那么紧张，反正我把自己温暖了一下下
1,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈~
1,我就是（那些年，我们这些没人追的女孩其中之一）8年时间，脸长长了不少五官其实还有当年轮廓啦，嘴歪的角度都一样。近年来每次拿出身份证都要被质疑的日子终于要过去啦～
1,#下雪了#有酒就去喝有爱就去爱一生那么短再拘谨几下就真的过去了。?晚安
1,#小格说晚安#世界上真正的原创，只有自己的人生。（晚安，大家好梦）
0,是谁在挑起民族之争？又是谁在推波助澜？
0,2015年11月13日发现了第一根白发
0,刚才有人说你这么大了才学钢琴。我这么大了？我还没到30呢，怎么就不能学了？难道给孩子买就是对的，给自己买就十恶不赦了么？活该你当孩奴！！！
0,只要你真心对我好不管你是谁我都会加倍对你好但只要你对我假情假意处处算计甭管你是谁都不要指望我会给你好脸色你假我比你更假处不来就不要处我又不缺真心的人
1,捂住鼻子是因为我用棉签弄他的鼻子，先把我的手打开，然后把手就放那里了，太逗了！
0,我只喜欢被你喜欢的感觉！......靠，说出这句话的都是混蛋
1,自己摘种，自家晾晒，超级新鲜，超级美味，
1,人生之路是自己的，没有谁能帮我走下去，但，我，用不着回去战战兢兢地生怕影子的黑暗吞没了太阳明亮的光线，人生之中有那么一次面对朝阳也是荣耀。
1,每个人正在死亡的路上行进，不要回避或否定这个看似可怕的问题，很多人怕死就避而不谈，面而不对，掩耳盗铃，做很多自欺欺人的事，其实当我们客观看待或面对死亡时，就反而不可怕了，更加坦然自在轻松了，怕的是这个恐惧过程，会让神经紧张气血不通而死得更快，如大多数癌症病人就是如此悲壮快速而去。
0,快一个星期了快递还没到我要报警了
0,大一的时候做作业超勤快的满脑子奖学金和评比目标达成过一次后就懒……不影响挂科的情况下自己开心就好……【【喂喂
1,[星星][星星][星星][星星][星星]，非常好看…全程无尿点很燃剧情紧凑bgm加分大段的追逐戏和动作戏扣人心弦飞车枪战戏码很精彩看的肾上腺素飙升几处泪点很虐妈的哭死…?毒品果然是万恶之源缉毒警们都是铮铮铁骨阿（致敬警犬炒鸡威武…还是要感叹一句小孩子真可怕阿[惊恐]...全文
1,【唐山师范学子画展！油画栩栩如生
0,再也没有办法像大二大三那样愉快的玩耍了每天事特多总感觉天天都好忙想着还有好多任务没完成心更累
1,充实满满的一天，读史的感觉就像发现了一片有一片新天地，而别人却不知自己为何偷乐
1,#子不语#夏达真的是个很温柔的女孩子呢
1,#子瑜加油##勇敢追夢_不要回頭#一個連領導人都無法回答的問題，你們卻要她承擔一切？理性看待並且理解兩岸不同的文化與認知，而不是將莫須有的罪名強壓在一個16歲的女孩身上。理解你們的愛國心與憤怒，但也請理解她對於自己從小生活的土地所擁有基本的認同感。不喜歡，求相忘吧。
1,16啦，，突然的惊喜，多谢有你们
1,易烊千玺，小伙子，我在认真的学习啊，可是每天的告白不能少呢，让皮皮来陪伴今天的你。。喜欢你真的是我做的非常正常的一个决定，你说呢？因为你这么优秀，我也要让自己更好一点，所以不能常常刷微博，我要考第一啊。
1,多少人在异地工作，忍受着孤独寂寞，下雨没人送伞，开心没人可以分享，难过没人可以倾诉，一个人走完四季，冷暖自知。人生就是这样，耐得住寂寞才能守得住繁华，该奋斗的年龄不要选择了安逸，度过了一段自己都能感动的日子，就会遇见那个最好的自己，踏实一些，你想要的岁月统统会还给你。
1,总有一缕阳光照耀着你不用害怕不用恐惧就算所有人都离你而去总有一条光明的路为你敞开大门拥抱你温暖你当你再次回头的时候都是一步一步曾经留下的脚印感叹它是最好的时光。
1,(*′っω?。`綾*)巴?夢を死なせるわけにいかない。Ameba更新啦，最近更得很勤快哟~
1,2015.11.24号是合肥第一场雪???看见雪立马想起来去年家里第一场雪的时候我特别高兴??然后逃课去找你拍照片?特别冷的天我俩都冻成狗??但是就是特别高兴??我记得你突然讲让我不要动这样很美?我记得我俩回去路上我让你背我你不背讲累累??反正真好吆小宝宝
0,我严重怀疑今年才是我呢本命年，特别是下半年，各种状况，各种倒霉事都在我身上发生了一遍，我怎么那么那么霉啊，什么情况啊，还给让我活呢
0,有太多心情难以表达，一句话:我又不开心了
1,又買呢2套！超級無敵重！還好可以送貨
0,（我明白，我面前所有的繁琐我都要做到自己解决）打完这句话手机就掉脸上了觉得自己大半夜的又多愁善感了然后就去p了一张图?终于有点困了.晚安
1,最近睡眠质量真是越来越差，不过开心的是我还在长高。哈哈哈哈哈哈哈
0,（星期一）没有动力困在原地还是想出去燥起来
1,(引自陈明章音乐工作有限公司nd)木吉他、金韵奖、和退伍后生活1970年代台湾刮起一股校园民歌的风潮，陈明章的音乐创作才华也随之沸腾。
1,人在轮回路上，总有一些不期而遇的相逢，也总有一些失之交臂的陌生。缘分有聚散，有人能随行，就是一种温暖；人心有冷暖，有人懂得，就是一种幸福。握紧几份真情，以心交心；拿出几许真诚，以诚换情；相识于真，才能相知于心；相处于纯净，才能相望于透明；相守于珍惜，才能相伴于一生。?
1,开办全国连锁美容化妆学校，出品自己名字命名的美容化妆品。
1,最能让人感到快乐的事，莫过于经过一番努力后，所有东西正慢慢变成你想要的样子！
0,，，，哪个王八蛋说藏青色好看的！！！！好丑的鞋
1,昨天已经过去了，没有太张扬，只是简单的请几个朋友同学吃了个饭。谢谢大家的祝福，生日快乐，献给过去的自己，献给我的朋友们，虽然都在祝我拖单，但是我的生日愿望却是祝你们能心想事成，毕业找到好工作，做爱做的事，爱你爱的人，过你想的生活，我们每个人都要开心的走过每一天
1,，虽是新开发车型，这一年也一如以往几乎是毫无故障的跑完撒哈拉沙漠。
0,心情很不爽，半夜吐个槽，你既然答应了别人，就不要说不来就不来，还是个男生，特喵的信用呢别他妈说什么有想上场的心没有时间，好像我们都很闲似的真糟心
0,厦门今年是要热到什么时候，都快十二月份了
0,..刚在网上买了肾之后我的三宝就裂了..关键我没摔没碰三宝它究竟怎么裂的，特别中间那条横跨的裂痕....这下三宝真的全身负伤了..光荣退役。
1,是我喜欢的电影类型而且电影有好多异想不到的剧情?感动哭了
0,..注册MBC不止十次八次了为甚老收不到确认邮件whytellmewhy！！！
0,1Y1M4D.每天到晚上发博麻麻压根啥都不记得一片空白还得用力想想，今天不停拿麦片给喂爸比吃爸比直感叹长大了就是这么贴心中午麻麻做饭爸比给喂饭吃，中途接了个电话，然后就没有然后了，因为我睡着了爸比每天早上赖床不起，午饭吃那么晚哎，完全不在乎我的感受
0,也是服了自己了，午休时间喝个水，整杯洒身上了，一身衣服湿嗒嗒的。虽说请假回家了，奈何一堆数据没做完，还得带着工作回家做。
0,想去日本台湾冰岛英国北欧，签证说no，小短假也说no
1,有点小醉，但是很开心久别重逢你们，感觉自己可能会在厕所里睡着，谁知道呢，美好因你们，久别的开怀
0,我发现自己真是闲的，给自己找不痛快，添堵
0,。……“人类社会中发生过的所有骇人听闻的事情都可以在黑猩猩社会中找到原型”可怕真相总是残酷的“有人光鲜亮丽，就必定有人满身泥泞。”
1,这个世界没有那么多的感同身受、生活还在继续、大步向前走吧！周南玉
1,潮妈把女儿打扮成了小龙女！实在太萌了！好可爱！我也想有个这样的女儿
1,//感觉评论里的大多建议对自卑患者来说实用性很低，作为同样不自信的人我的建议是多看书多思考，长期接收不用动脑子或者没什么营养的信息整个人会变得空虚浮躁甚至智商直线下降。看书引出的思考会逐渐完善自我。尽管我没有根治自己的不自信，但我对自己了解更深，并不因此害怕和惶恐。
0,火箭打的成渣，湖人防守更渣！渣渣渣渣渣渣渣渣
0,喜欢一个人的时候，TA流鼻涕的样子都能可爱得让你的心小鹿乱撞…不喜欢一个人的时候，TA的哪哪都是错的，就连对你的好都成了你想拼命卸掉的累赘。。。不谢谢你的喜欢，本王根本就不care。。。啊！！！我是不是注孤生了
0,那么那么多人，新人也不止我一个，为何偏偏要我负责策划晚会？？为何我还是从别人那里听听听说要我负责？？
0,"两马各拉一货车：一马走得快；一马慢吞吞；于是主人把后面的货全搬到前面……后面的马笑了。“切；越努力越遭折磨。”谁知主人后来想；既然一匹马就能拉车,干嘛养两匹，最后懒马被宰掉吃了……这就是经济学中的懒马效应、——让老板觉得你可有可无：你被踢开的日子就不远了……"
1,没有一刻不在想着我们的未来，虽然知道这可能是个奢望，但还是那么美好
1,???，很意外，还记得我生日的朋友，睿，成，玥，他们的生日我都没那么准时的记得，顿时感觉好惭愧，谢谢你们，我要好好珍惜你们
1,??????????还是南门的夜宵摊热闹呀~
1,"呵呵?。。每天都希望是好的开始。。每天的努力,希望都有结果。每天的,每一次都认真对待。"
1,有个女人一直跟我炫耀她的司考成绩，把成绩单给我发了好几遍知道她很开心。我也超级开心吖。我爱的姑娘果然都是最强的晚安
0,洗完澡发现掉了一只隐形眼镜操他妈的日了狗了
0,周身痛～今晚收到既快递仲要入面烂晒我要发烂渣！！！！！！
0,换了科室就没一天开心过，想发泄都没地方，妈蛋妈蛋妈蛋！！！！
0,?????2022！！！人的一生能有几个四年！！别去也好！去了也是特么给别国刷进球数！！不够丢脸的！！次次抱有期待就特么是煞笔！！！该下课下课！！！该辞职辞职！！和董指导想法一样：我操你妈的
1,嘿嘿，当舅舅了，感谢小生命的到来，为我们的生活增添新的色彩，愿健康快乐的成长！
0,十九天，胆子肥了，你完蛋了，你敢咬我，你给我小心一点点
0,我确实没有弄明白这群发烧友长枪短炮的在拍什么？难道是一群疯子
0,失眠第二天看来考试之前是不会睡个好觉了
1,睡觉前又去听了一下妈妈发的语音，那么多条就一直在重复提醒大家别忘了我的生日去给我说生日快乐！谢谢你我最爱的妈妈
1,每次一陷入心情低谷，发现各路朋友突然涌上来！你闷一定四有读心术辣！！！
1,南京银行杭州分行面试通知终于出来了！最想去的银行
0,这么250多久了居然才看到！更新！251
1,啊哈哈哈，生活跌宕起伏啊，最后一秒你们的记忆都复苏了是嘛，有爱了有爱了，有爱了
0,我操你妈逼！！！！！！！！大半夜不睡觉烧衣服你家死的那个人灵车漂移骨灰喂狗坟头爆炸哭你妈逼哭别人不要睡觉啊？？？！！！！！！！！！！！！！！
1,还没来的及好好的看清楚你小时候的样子…你就这样长大了妈妈爱你
0,楼上装修，现在已经严重影响我的工作学习和生活啦
1,有云相随，风不再孤单。有叶相伴，树不再寂寞！有蝶相恋、花不再悲伤。有地相望……天不再失踪：有你相伴……我不再伤感……与你相守！是我最大的心愿。
0,真的是快递多到我恶心关键是完全没有看到自己的快递啊??别人的快递看到好多！就看不到自己的！！！
1,停下来喝杯红茶，吃小点！轻松一下，放送心情，希望明天的考试顺利通过！
1,早安，外面温度那么低都有勇气起床吗要保暖偶
0,哎，真的不想走省医院地铁站上下地铁了！越来越过分了！受不了那群安检！
1,送给大家一段话：好好吃饭，好好睡觉，好好挣钱，好好花钱。不为不值得的人生气，不为不值得的事失眠。既然活着就好好活着，每分钟都为自己活着。
0,好难过……我找不到吃肉的动力了……我有病
0,艸艸艸靠靠靠fuckfuckfuck对面一个地方看着地图都他妈的找了半个小时也是醉了为神马是路痴癌晚期啊靠关键是最后还是没找到掀桌！！！！
1,金星二班大聚餐～金星一班休息时和谐的画面感～自由拉丁派对自由的喝………够了再跳舞
0,昨天女儿肚子疼，就让老公去给买了盒丁桂儿脐贴，贴上就哇哇哭以为是肚子疼，今早起来给洗澡换衣服吓了我一大跳，整个肚子都肿了，还特别红还冒浓水，刚刚让老公去药房讨个说法说是过敏，为什么我们前几次贴就没过敏，让退钱都不给退，说和他们没关系，真是黑心的商家，女儿才两个半月，这么残忍
1,我做过很多噩梦坠入悬崖世界毁灭恋人分别朋友背叛每一次醒来都浑身湿透恐惧万分充满劫后余生的感激和心安我一直认为一切不好的事情都将有过去的那天只有好的结局才算是终点可这生活本就是一个深不见底的渊洞我这个样子看上去像是在离开又像是在回去像是去赴约又像是去自尽...全文
1,把圈子变小，把语言变干净，把成绩往上提，把故事往心里收一收，现在想要的以后你都会有。晚安
0,一闭上眼睛就进入了深深的梦魇一般
1,去年的这个时候你还在米国，今年你回来了，已经觉得很幸福了
0,长歌控制人跳崖也就算了，还能控制人神行了？简直脏的一塌糊涂啊！！！
1,闲来无聊，随手测试。居然！清纯度还有100%！
0,心情不美，不想说话不想工作不想动
1,睡觉之前来一首电音梦里也会嗨起来吧晚安窗户外寒冷的世界
1,明天降温了记得多穿戴好围巾拉好衣服拉链牵好她的手
1,摩登家庭竟然回归了，破产姐妹也回归了！哦！还以为最近除了他来了和神秘博士，我就要剧荒了。这两部回归，可是大好消息～
1,?就喜欢这样的前任各过各我觉女票应该美这才叫有风度呀好开心呀
1,生活轨道不同，适合自己的自然就是最好的。
1,没完没了的橙子，好烦！哈哈哈看一次笑一次
0,?两个总应该成一个吧。看我最近这么背的份上给点动力吧
1,?满千提现?冷到掉牙?收单睡觉啰
0,现在的状态就是杰哥一首歌……女人到底想要什么……
1,最幸福的事就是可以在课少的时候从23点睡到早上7点～～～
1,我的美女姐姐。从小到大有你在我身边一直伴我慢慢长大。我感谢上帝赐予我这么完美的一个姐姐。已经过十二点了，祝你生日快乐
1,难得清闲，最近转型了开始看历史剧，《青岛往事》黄渤演的，真不错！
0,"呛死人的下班路上,这个点真是没sei了。"
1,短暂的痛苦是为了更长久的快乐幸福，为什么要贪图如此虚无飘渺的微弱感情呢，走了，散了…以后自己一个人更加健康快乐…
0,变态妻子，变态夫！！你嫌弃离婚就好了呀，你愧疚，离婚就好了嘛！！！！
1,今天灰常开心哦.又收到份礼物超级喜欢很巧合的和我的小姐妹们配成一套.Sonation也体会到了你若盛开蝴蝶自来的道理.
0,我也是特别讨厌一直劝人喝酒的人，明明喝傻B了还要喝，喝你妹啊
1,“我们必须全力以赴同时又不抱持任何希望。不管做什么事都要当它是全世界最重要的一件事但同时又知道这件事根本无关紧要。”
1,今天有点高兴。我把我的爱都画进去了我知道你知道
1,?游Day1，天津。一个多小时的飞机现在坐起来真是轻松，吃吃喝喝两本书就到了，都到了睡觉点儿俩孩子坚持到酒店又兴奋好一阵。我主要是来晒一下双十一订的350/晚的天津唐拉雅秀酒店！以后有钱都找我帮忙花就对了
0,如果可以再一次鬍子蹭我的臉我不再嫌棄?
1,初雪今天超级开心！！！学校积雪超多u而且可以静静装个逼x
0,这事有一年了，去年冬天，有个gay鞍山的，跟我说话聊骚，我就态度恶劣的回复了他，然后他就给我骂了，擦特么的，这事我突然又想起来了，气死我了，这个鞍山狗篮子，
1,?中国好闺蜜快乐女生全国十二强选手也加入了?，越来越有意思了
1,祝MAKO大天使生日快乐????'喜欢你的笑容、喜欢你的温柔稳重...感谢让我喜欢上了你。
0,此时此刻，听到隔壁的呼声我突然心里特别难过，爱是什么，总有那些根本不能说的话，说了就再也不理你，从来都记不得关于你的事情，可你爱的是什么，每次生气好像睡一觉就什么都没发生，从来都没有为某一件事情、主动和你聊一聊，我和你没有血缘关系，爱是相互的付出，不是所有的爱情都会成为亲情！
0,英语课上的很心累。还要搞出一个婚礼。难道老师想结婚想疯了吗
0,跟别的支行的同事交流完业务后相互吐槽了老半天，挂了电话就看见群里的友情提醒，这哪里是上班，简直就是卖命
0,@北京交警四海桥附近爆堵，请问又为哪位重要人物封路了？能让老百姓正常上个班不？@平安北京
1,也不是说做人非努力不可，只不过这个世界上努力的人那么多，不想当烂泥，总得做点什么。
0,我以为自己很坚强但当听到你们要一起去旅行庆生时眼泪不争气的就流了下来，心在滴血！其实一直都知道自己是多余的！好像逃
0,穿什么羽绒服啊！！！真是作死！！！坐上公交感觉蒸了个桑拿。
1,安利一个护手霜冬天摸刚刚好香香滴！牛油果成分但是有淡淡的奶香！超级舒服的奶香！
0,@兰州公安@兰州发布这个点了还在洒水，洒就洒吧，还放着高音，还还来回两遍…再这么整我就报警了
1,这是我的天堂...好多志同道合的人...
1,庆幸的是，我们都找到了彼此的幸福
0,一变天就感冒好想回家把大棉袄穿上冻死宝宝了
1,一直投入做着与自己相关的事，无论如何，都不放弃，在大学里闪闪发光
0,中国队这场就不发了，免得霉了国足，上次国足输给卡塔尔那场我就发了不看好国足，结果后来有人打赏了我20块，说我发国难财。
0,今天一上班就收到了一大堆的双十一的包裹，破产的人接下来的时间只能吃土了
